2009-06-19 02:43:53 - 3, 4, 2633, ab
2009-06-19 02:43:54 - 3, 4, 8665, ab
2009-06-19 02:43:55 - 3, 4, 121364, ab
2009-06-19 02:43:55 - 3, 4, 14504, ab
2009-06-19 02:43:56 - 3, 4, 2155, ab
2009-06-19 07:00:32 - 3, 4, 125308, ab
2009-06-19 09:03:58 - 3, 4, 125308, ab
2009-07-06 08:26:28 - 0, 1, 12006, wb
2009-07-06 08:26:28 - 0, 1, 8665, wb
2009-12-08 09:08:18 - 1, 2, 1078668, ab
2009-12-09 03:27:47 - 0, 1, 601193, wb
2009-12-09 03:28:53 - 0, 1, 601193, wb
2009-12-09 03:28:54 - 0, 1, 392435, wb
2009-12-22 03:13:43 - 0, 1, 156925, wb
2009-12-22 03:20:51 - 0, 1, 84605, wb
2009-12-22 06:50:07 - 0, 1, 17568, wb
2009-12-28 06:34:43 - 0, 1, 42151, wb
2010-01-06 07:39:40 - 0, 1, 13535, wb
2010-01-06 07:39:40 - 0, 1, 11082, wb
2010-01-06 07:39:40 - 0, 1, 10943, wb
2010-01-06 07:39:40 - 0, 1, 14734, wb
2010-01-06 07:39:40 - 0, 1, 10316, wb
2010-01-06 07:39:40 - 0, 1, 10234, wb
2010-01-06 07:40:43 - 0, 1, 26614, wb
2010-01-06 07:40:43 - 0, 1, 49457, wb
2010-01-06 07:40:43 - 0, 1, 71977, wb
2010-01-06 07:40:43 - 0, 1, 154553, wb
2010-01-06 07:40:43 - 0, 1, 46868, wb
2010-01-06 07:40:43 - 0, 1, 35346, wb
2010-01-06 07:40:43 - 0, 1, 36286, wb
2010-01-06 07:40:44 - 0, 1, 34390, wb
2010-01-06 07:40:44 - 0, 1, 47203, wb
2010-01-06 07:40:44 - 0, 1, 20010, wb
2010-01-06 07:40:44 - 0, 1, 32235, wb
2010-01-06 07:40:44 - 0, 1, 30571, wb
2010-01-06 07:40:44 - 0, 1, 38242, wb
2010-01-06 07:40:44 - 0, 1, 39696, wb
2010-01-06 07:40:44 - 0, 1, 38251, wb
2010-01-06 07:40:44 - 0, 1, 37744, wb
2010-01-06 07:40:44 - 0, 1, 46318, wb
2010-01-28 07:06:31 - 0, 1, 108153, wb
2010-01-28 09:31:27 - 0, 1, 199984, wb
2010-01-28 09:36:58 - 0, 1, 92936, wb
2010-02-26 07:37:06 - 0, 1, 12046, wb
2010-02-26 07:37:06 - 0, 1, 48396, wb
2010-02-26 07:37:06 - 0, 1, 3954, wb
2010-02-26 09:21:18 - 0, 1, 0, wb
2010-02-26 09:27:05 - 0, 1, 48396, wb
2010-03-04 08:57:09 - 0, 1, 36719, wb
